reference,doi,title,year,type,journal,authors
hal-02051601,10.1134/s1063778820020040,Triplet structure of nuclear scissors mode,2020,Article,Physics of Atomic Nuclei [Âdernaâ fizika / Yadernaya Fizika],E.B. Balbutsev; I.V. Molodtsova; A.V. Sushkov; N.Yu. Shirikova; P. Schuck
hal-02055473,10.1080/01496395.2019.1575879,Oil removal from crude oil-in-saline water emulsions using chitosan as biosorbent,2020,Article,Separation Science and Technology,Rosangela Regia Lima Vidal; Jacques Desbrieres; Redouane Borsali; Eric Guibal
hal-02055678,10.1039/c8sc04512g,A molecular density functional theory approach to electron transfer reactions,2019,Article,Chemical Science,Guillaume Jeanmairet; Benjamin Rotenberg; Maximilien Levesque; Daniel Borgis; Mathieu Salanne
hal-02059248,10.1080/03610918.2019.1594292,Goodness-of-fit tests for the Weibull and Extreme-Value distributions: a review and comparative study,2021,Article,Communications in Statistics - Simulation and Computation,Olivier Gaudoin; Meryam Krit; Emmanuel Remy
hal-02060601,10.1007/s11047-019-09739-5,A class of discrete dynamical systems with properties of both cellular automata and L-systems,2020,Article,Natural Computing,Roderick Edwards; Aude Maignan
hal-01517735,10.1016/j.na.2019.03.012,Lifting in Besov spaces,2020,Article,"Nonlinear Analysis: Theory, Methods and Applications",Petru Mironescu; Emmanuel Russ; Yannick Sire
hal-02064477,10.1007/s00211-020-01140-0,Optimization of the shape of regions supporting boundary conditions,2020,Article,Numerische Mathematik,Charles Dapogny; Nicolas Lebbe; Edouard Oudet
hal-02065826,10.1016/j.nimb.2019.04.063,New exotic beams from the SPIRAL 1 upgrade,2020,Communication,,P. Delahaye; M. Dubois; L. Maunoury; A. Annaluru; J. Angot; O. Bajeat et al.
hal-02073544,10.1016/j.nima.2020.164569,Track length measurement of $^{19}$F$^+$ ions with the MIMAC directional Dark Matter detector prototype,2021,Article,"Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",Y. Tao; C. Beaufort; I. Moric; C. Tao; D. Santos; N. Sauzet et al.
hal-02073816,10.29363/nanoge.hopv.2019.076,Stability of mixed cation perovskite solar cells: understanding of involved mechanisms,2019,Communication,,Manon Spalla; Lara Perrin; Emilie Planès; Muriel Matheron; Solenn Berson; Lionel Flandin
hal-02073982,10.1016/j.cam.2019.112603,Critical length: an alternative approach,2020,Article,Journal of Computational and Applied Mathematics,Carolina Vittoria Beccari; Giulio Casciola; Marie-Laurence Mazure
hal-02074337,10.1080/00207179.2018.1502474,Flat trajectory design and tracking with saturation guarantees: a nano-drone application,2020,Article,International Journal of Control,Ngoc Thinh Nguyen; Ionela Prodan; Laurent Lefèvre
hal-02076495,10.1016/j.jmps.2019.103742,Twisters: an analogy of bilayers for twisting,2020,Article,Journal of the Mechanics and Physics of Solids,Sébastien Turcaud; Anders Thorin; Yves Bréchet; Peter Fratzl; John Wc Dunlop
hal-02077857,10.1016/j.ensm.2019.02.002,Applying chemometrics to study battery materials: Towards the comprehensive analysis of complex operando datasets,2019,Article,Energy Storage Materials,Marcus Fehse; Antonella Iadecola; Moulay Tahar Sougrati; Paolo Conti; Marco Giorgetti; Lorenzo Stievano
hal-02078547,10.1016/j.ejor.2020.01.059,An efficient and general approach for the joint order batching and picker routing problem,2020,Article,European Journal of Operational Research,Olivier Briant; Hadrien Cambazard; Diego Cattaruzza; Nicolas Catusse; Anne-Laure Ladier; Maxime Ogier
hal-02080682,10.1088/1361-6471/ab4574,Searching for long-lived particles beyond the Standard Model at the Large Hadron Collider,2020,Article,J.Phys.G,Juliette Alimena; James Beacham; Martino Borsato; Yangyang Cheng; Xabier Cid Vidal; Giovanna Cottin et al.
hal-02080709,10.1016/j.physletb.2020.135223,Measurement of strange baryon–antibaryon interactions with femtoscopic correlations,2020,Article,Phys.Lett.B,Shreyasi Acharya; Dagmar Adamova; Souvik Priyam Adhya; Alexander Adler; Jonatan Adolfsson; Madan Mohan Aggarwal et al.
hal-02088253,10.1016/j.neucom.2018.10.092,Coupled Ensembles of Neural Networks,2020,Article,Neurocomputing,Anuvabh Dutt; Georges Quénot; Denis Pellerin
hal-02088612,10.1140/epjc/s10052-020-8181-6,Measurements of top-quark pair spin correlations in the $e\mu$ channel at $\sqrt{s} = 13$ TeV using $pp$ collisions in the ATLAS detector,2020,Article,Eur.Phys.J.C,Morad Aaboud; Georges Aad; Brad Abbott; Dale Charles Abbott; Ovsat Abdinov; Adam Abed Abud et al.
hal-02089988,10.1109/tvcg.2019.2909875,Fast Computation of Single Scattering in Participating Media with Refractive Boundaries using Frequency Analysis,2020,Article,IEEE Transactions on Visualization and Computer Graphics,Yulin Liang; Beibei Wang; Lu Wang; Nicolas Holzschuch
hal-02093995,10.1103/physrevlett.122.098005,Grooves Accelerate Dew Shedding,2019,Article,Physical Review Letters,Pierre-Brice Bintein; Henri Lhuissier; Anne Mongruel; Laurent Royon; Daniel Beysens
hal-02097338,10.1021/acs.jpcc.8b12116,Beyond the Oxygen Redox Strategy in Designing Cathode Material for Batteries: Dynamics of a Prussian Blue-like Cathode Revealed by Operando X-ray Diffraction and X-ray Absorption Fine Structure and by a Theoretical Approach,2019,Article,Journal of Physical Chemistry C,Angelo Mullaliu; Giuliana Aquilanti; Lorenzo Stievano; Paolo Conti; Jasper Plaisier; Sylvain Cristol et al.
inserm-02098022,10.1159/000498854,Higher in vivo Cortical Intracellular Volume Fraction Associated with Lithium Therapy in Bipolar Disorder: A Multicenter NODDI Study,2019,Article,Psychotherapy and Psychosomatics,Samuel Sarrazin; Cyril Poupon; Achille Teillac; Jean-François Mangin; Mircea Polosan; Pauline Favre et al.
hal-01754839,10.1109/tpami.2019.2910523,A Comprehensive Analysis of Deep Regression,2020,Article,IEEE Transactions on Pattern Analysis and Machine Intelligence,Stéphane Lathuilière; Pablo Mesejo; Xavier Alameda-Pineda; Radu Horaud
hal-02003335,10.1016/j.ajhg.2018.12.013,Bi-allelic Mutations in ARMC2 Lead to Severe Astheno-Teratozoospermia Due to Sperm Flagellum Malformations in Humans and Mice,2019,Article,American Journal of Human Genetics,C. Coutton; G. Martinez; Z.-E. Kherraf; A. Amiri-Yekta; M. Boguenet; A. Saut et al.
hal-02103389,10.1103/physrevb.101.020506,Doping-induced in-plane anisotropy of bond-stretching phonon softening in oxychloride Ca2−xCuO2Cl2 compounds,2020,Article,Physical Review B,Blair Lebert; Hajime Yamamoto; Masaki Azuma; Rolf Heid; Satoshi Tsutsui; Hiroshi Uchiyama et al.
hal-01520173,10.1080/00207179.2019.1616224,Controllability of bilinear quantum systems in explicit times via explicit control fields,2021,Article,International Journal of Control,Alessandro Duca
