code,acronym,title,year,amount_eur,duration_months,program,coordinator
ANR-23-PEIA-0010,HOLIGRAIL,HOLIistic approaches to GReener model Architectures for Inference and Learning,2023,,,PIA ANR,Université de Rennes
ANR-23-PEIA-0003,FOUNDRY,Foundations of robustness and reliability in artificial intelligence,2023,,,PIA ANR,CNRS Alpes (Grenoble)
ANR-23-PEEL-0001,FrenchDiam,The French diamond industry for power electronics,2023,,,PIA ANR,CNRS délégation Occitanie Ouest
ANR-23-IAHU-0008,EVEREST (IAHU),"Santé Respiratoire, Environnement et Vieillissement",2023,,,PIA ANR,Université de Lyon I (Claude Bernard)
ANR-23-CMAS-0042,LaTêteDanslesNuages@UGA,LaTêteDanslesNuages@UGA,2023,,,PIA ANR,Université Grenoble Alpes
ANR-23-CMAS-0009,IBES,INNOVATIVE BIOHEALTH EDUCATION SCHOOL,2023,,,PIA ANR,Université Grenoble Alpes
PHRCI-2023-CAPABLE-07B,,Impact de lActivité Physique Adaptée sur lasthénie persistante chez les patients porteurs dune Maladie Inflammatoire Chronique de lIntestin en rémission,2023,,,SIRANo,CHU GRENOBLE ALPES
PHRCK-2023-PROCEDE-556,,Détection précoce du cancer de la prostate avec surveillance IRM,2023,,,SIRANo,CHU GRENOBLE ALPES
101153990,AIRSEA-PLASTIC,Emission of marine microplastics by waves and wind: A key mechanism for global microplastic dispersal?,2023,,,Horizon Europe,
101182520,QCOMICAL,Quantum Computing and its Calculi,2023,13800,,Horizon Europe,
ANR-23-CE01-0009,PLUME,Observation et parametrisation de la convection océanique,2023,,,ANR,Institut des Géosciences de l'Environnement
ANR-23-RAR4-0008,ARTEMIS,,2023,,,ANR,Centre Hospitalier Universitaire de Toulouse
ANR-23-MOXE-0006,NAVIR,Navigation Autonome pour Véhicule Intelligent et Robot,2023,,,ANR,HawAI.tech SAS
ANR-23-CETP-0002,HyLife,Risques microbiens liés au stockage souterrain de l'hydrogène en Europe,2023,,,ANR,BUREAU DE RECHERCHE GEOLOGIQUE ET MINIERE
ANR-23-CE45-0007,ARBOREAL,Processus d'allocation de ressource branchant pour l'analyse et l'inférence de la variabilité phénotypique de la croissance,2023,,,ANR,Centre Inria de l’Université Grenoble Alpes
ANR-23-CE23-0009,DEGREASE,Modèles génératifs et d'inférence par apprentissage profond pour le rehaussement de la parole faiblement supervisé,2023,,,ANR,Institut d'Electronique et des Technologies du numéRique (IETR)
ANR-23-EXMA-0003,CLIMATH,Avancées fondamentales pour la modélisation des processus clés pour la réduction des impacts des changements climatiques,2023,,,PIA ANR,Sorbonne Université
101146122,SPADES,Spatial Planning and Design with Soil,2023,129375,,Horizon Europe,
101169527,COGENT,"Cohomology, Geometry, Explicit Number Theory",2023,816670,,Horizon Europe,
iPHD-2020GRALM067,VOYANCE SYSTEMS,VOYANCE SYSTEMS,2023,,,i-PHD,
101131592,EPOS ON,EPOS Optimization and EvolutioN,2023,35000,,Horizon Europe,
101147425,NULACAN,NUmerical investigation of LAndslides and tsunamis in CANary Islands,2023,,,Horizon Europe,
ANR-23-PFAN-0001,PRO-FAN Transfert Recherche,PRO-FAN Transfert Recherche,2023,,,PIA ANR,CNRS Rhône Auvergne (Villeurbanne)
ANR-23-PEXD-0013,MIAM,Accelerating the discovery of innovative permanent magnets with reduced content of critical rare earths,2023,,,PIA ANR,CEA Paris
ANR-23-PECL-0008,TARANIS,"Taranis : Modéliser, Déployer, Orchestrer, et Optimiser les applications et les infrastructures du cloud",2023,,,PIA ANR,INRIA siège
ANR-23-PEBA-0003,HEAL B AND B,"Healing batteries for Better Safety, Reliability and Lifetime",2023,,,PIA ANR,Sorbonne Université
ANR-23-PAVH-0002,Pré.S.Age,"Parcours de prévention personnalisé de la perte d’autonomie chez les personnes âgées : accessibilité, empowerment et adaptions à l’environnement",2023,,,PIA ANR,Université Côte d'Azur
